,,4-19-10 KN,4-19-10 SU,4-19-11 SU,4-19-11 KN,4-20-15 KN,4-20-15 WC,4-20-16 WC,4-20-16 KN,4-21-10 SS,4-21-10 MS,4-21-14 MS,4-21-14 SS,4-21-15 SC,4-21-15 MS,4-24-9 MS,4-24-9 SC,5-2-13 SC,5-2-13 WC,5-2-14 WC,5-2-14 SC,4-12-15 KN,4-12-15 SU,4-14-14 KN,4-14-14 WC,4-25-10 SU,4-25-10 KN,4-25-16 WC,4-25-16 KN,4-26-15 SS,4-26-15 MS,5-2-10 MS,5-2-10 SS,5-2-15 SC,5-2-15 MS,5-3-10 MS,5-3-10 SC,5-10-10 SC,5-10-10 WC,5-11-15 WC,5-11-15 SC,5-9-10 KN,5-9-10 SU,5-12-10 SU,5-12-10 KN,6-6-12 KN,6-6-12 WC,6-6-14 WC,6-6-14 KN,6-8-9 SS,6-8-9 MS,6-9-10 MS,6-9-10 SS,6-14-15 SC,6-14-15 MS,6-22-10 MS,6-22-10 SC,6-22-12 SC,6-22-12 WC,6-22-14 WC,6-22-14 SC,Total,,,Percentage,,Non-CS,CS,CP
,Correct ,,,,,,,,,,0,1,,,0,0,,,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,,,,,,1,1,,,0,,,,,,,4,11,,36.36363636,,1,1,2
,Validated,,,,,,,,,,0,1,,,0,0,,,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,,,,,,0,0,,,0,,,,,,,2,11,,18.18181818,,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visual Attached?,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,,1,1,,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,,,,1,1,,29,,,,,,,
,Visual Used,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,,1,1,,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,,,,1,1,,29,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Final Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,60,,55,,10,9,14
,Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,60,,63.33333333,,11,12,15
,Validated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,60,,28.33333333,,3,8,6
,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,72.22222222,,5,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Validated but wrong,0,,,0,0,,,0,,0,0,,0,0,0,0,0,,,0,0,,0,,,0,,0,,0,0,,0,0,0,0,0,,,0,0,,,0,0,,,1,,0,0,,0,0,0,0,0,,,0,1,,,,,0,0,1
,Validated and right,0,,,0,0,,,0,,0,1,,0,0,0,1,0,,,1,1,,0,,,1,,1,,0,0,,1,1,0,1,1,,,1,1,,,1,1,,,0,,0,0,,0,0,0,0,1,,,1,16,,,,,3,8,5
,Unvalidated and wrong,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,1,1,0
,Unvalidated but right,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,14,,,,,6,0,8
