Artifact Id,Paper Id
5/12//10:2:3,"CP 2,2"
5/12//10:2:4,"CP 2,2"
5/12//10:2:5,"CP 2,2"
6/6//12:1:1,"CP 3,1"
6/6//12:1:2,"CP 3,1"
6/6//12:1:3,"CP 3,1"
6/6//12:1:4,"CP 3,1"
6/6//12:2:1,"CP 3,2"
6/6//12:2:2,"CP 3,2"
6/6//12:2:3,"CP 3,2"
6/6//12:2:4,"CP 3,2"
6/6//14:1:1,"CP 4,1"
6/6//14:1:2,"CP 4,1"
6/6//14:1:3,"CP 4,1"
6/6//14:1:4,"CP 4,1"
6/6//14:1:5,"CP 4,1"
6/6//14:1:6,"CP 4,1"
6/6//14:1:7,"CP 4,1"
6/6//14:1:8,"CP 4,1"
6/6//14:2:1,"CP 4,2"
6/6//14:2:2,"CP 4,2"
6/6//14:2:3,"CP 4,2"
6/6//14:2:4,"CP 4,2"
6/6//14:2:5,"CP 4,2"
6/6//14:2:6,"CP 4,2"
6/6//14:2:7,"CP 4,2"
6/6//14:2:8,"CP 4,2"
6/6//14:2:9,"CP 4,2"
6/8//9:1:1,"CP 5,1"
6/8//9:1:2,"CP 5,1"
6/8//9:1:3,"CP 5,1"
6/8//9:2:1,"CP 5,2"
6/8//9:2:2,"CP 5,2"
6/8//9:2:3,"CP 5,2"
6/8//9:2:4,"CP 5,2"
6/9//10:1:1,"CP 6,1"
6/9//10:1:2,"CP 6,1"
6/9//10:1:3,"CP 6,1"
6/9//10:1:4,"CP 6,1"
6/9//10:1:5,"CP 6,1"
6/9//10:1:6,"CP 6,1"
6/9//10:1:7,"CP 6,1"
6/9//10:2:1,"CP 6,2"
6/9//10:2:2,"CP 6,2"
6/9//10:2:3,"CP 6,2"
6/9//10:2:4,"CP 6,2"
6/9//10:2:5,"CP 6,2"
6/9//10:2:6,"CP 6,2"
6/9//10:2:7,"CP 6,2"
6/14//15:1:1,"CP 7,1"
6/14//15:1:2,"CP 7,1"
6/14//15:1:3,"CP 7,1"
6/14//15:1:4,"CP 7,1"
6/14//15:2:1,"CP 7,2"
6/14//15:2:2,"CP 7,2"
6/14//15:2:3,"CP 7,2"
6/14//15:2:4,"CP 7,2"
6/14//15:2:5,"CP 7,2"
6/14//15:2:6,"CP 7,2"
6/22//10:1:1,"CP 8,1"
